Time, Universe Size, Number of Subsets, Size of Result SuperSet 
1.2800693512, 10, 482, 3
0.130891799927, 10, 36, 3
2.29215621948, 10, 798, 3
2.20918655396, 10, 816, 3
3.05104255676, 10, 976, 3
2.80714035034, 10, 957, 3
0.778913497925, 10, 232, 3
5.94115257263, 10, 807, 3
1.34420394897, 10, 628, 2
2.38490104675, 10, 834, 3
2.35199928284, 25, 284, 3
2.58302688599, 25, 298, 4
4.30393218994, 25, 525, 4
4.26888465881, 25, 553, 3
1.87802314758, 25, 239, 3
0.280857086182, 25, 20, 4
3.87096405029, 25, 548, 3
1.55401229858, 25, 207, 3
2.99596786499, 25, 399, 3
1.2469291687, 25, 143, 4
10.272026062, 50, 369, 4
17.0910358429, 50, 662, 4
16.6490077972, 50, 595, 4
3.27181816101, 50, 125, 4
18.0778503418, 50, 704, 4
15.6660079956, 50, 550, 4
3.55386734009, 50, 124, 4
13.6020183563, 50, 539, 4
2.22492218018, 50, 90, 4
3.59606742859, 50, 131, 4
53.3180236816, 100, 599, 4
6.6180229187, 100, 76, 5
85.2839946747, 100, 963, 5
35.670042038, 100, 369, 5
72.1318721771, 100, 870, 4
47.6288795471, 100, 542, 5
59.867143631, 100, 669, 5
4.8611164093, 100, 49, 6
16.0391330719, 100, 160, 5
34.5330238342, 100, 395, 5
484.404087067, 500, 225, 6
1003.23295593, 500, 458, 7
1788.99097443, 500, 775, 6
1825.03294945, 500, 845, 6
614.721775055, 500, 275, 7
823.359012604, 500, 365, 7
2045.72296143, 500, 945, 6
1621.20509148, 500, 599, 6
2145.20311356, 500, 971, 6
543.51401329, 500, 234, 7
4866.20211601, 1000, 548, 7
4919.41308975, 1000, 551, 7
1368.46899986, 1000, 154, 8
1668.05505753, 1000, 180, 7
1450.93607903, 1000, 146, 8
1783.37693214, 1000, 209, 8
5311.47193909, 1000, 616, 7
8301.5460968, 1000, 966, 7
3197.06106186, 1000, 371, 8
7337.38017082, 1000, 864, 7
